Column	Row	Sample
01	A	C4483
01	B	CA7484
01	C	CB7014
01	D	CB1722
01	E	CB8823
01	F	CB8722
01	G	C4062
01	H	CA4553
02	A	C4205
02	B	C1574
02	C	CB1974
02	D	CB7232
02	E	CB0642
02	F	CB7624
02	G	C3622
02	H	CA5103
03	A	CA8326
03	B	C3705
03	C	CB7734
03	D	CB9674
03	E	CB9631
03	F	CB9014
03	G	C1751
03	H	CA5481
04	A	C3712
04	B	C4484
04	C	CB2271
04	D	CB8811
04	E	CB2743
04	F	CB2465
04	G	C3632
04	H	CA4651
05	A	C3612
05	B	C4202
05	C	CB7377
05	D	CB2183
05	E	CB8262
05	F	CB0282
05	G	CB9206
05	H	CA4896
06	A	C3694
06	B	CA9612
06	C	CB2033
06	D	CB8171
06	E	CB1633
06	F	CB7721
06	G	CB9271
06	H	CA8093
07	A	P0285
07	B	P0152
07	C	P0355
07	D	P0311
07	E	P1346
07	F	P0808
07	G	P0839
07	H	P0390
08	A	LA0293
08	B	LA0103
08	C	LA2772
08	D	LA8661
08	E	LA2832
08	F	LA2692
08	G	LA1634
08	H	LA2773
09	A	P0285
09	B	P0152
09	C	P0355
09	D	P0311
09	E	P1346
09	F	P0808
09	G	P0839
09	H	P0390
10	A	P0387
10	B	P1335
10	C	NP0894
10	D	P0372
10	E	P0215
10	F	P1187
10	G	P0842
10	H	LA1621
11	A	LA0732
11	B	LA2482
11	C	LA2774
11	D	LA3112
11	E	LA1623
11	F	P1093
11	G	LA2611
11	H	LA2884
12	A	LA0293
12	B	LA0103
12	C	LA2772
12	D	LA8661
12	E	LA2832
12	F	LA2692
12	G	LA1634
12	H	LA2773
